Year,Coal,Natural Gas,Oil,Nuclear,Hydro,Wind,Solar,Biomass,Total
1980,14.651667929818709,18.21191357053257,32.25658538880925,2.5053854669739883,2.6728636147528073,0.0,0.0,0.2842313980395574,70.58264736892689
1981,15.11215009177586,17.772579862417548,30.070368238056414,2.7204698148182085,2.5260255117127794,0.0,0.0,0.29192577742226095,68.49351929620306
1982,14.555500130030634,16.520596854390245,28.49319448382549,2.8212337693861094,2.9906397771876456,0.0,0.0,0.2815562789991851,65.66272129381932
1983,15.099719659806375,15.498752563092522,28.35993329234368,2.9300230810751278,3.210043896339405,2.388499143189558e-05,2.729713306502352e-05,0.3178034595679032,65.4163271343495
1984,16.21709026826515,16.554250807317786,29.25337186970353,3.268807799545135,3.1049294611892657,6.14185493963029e-05,5.118212449691909e-05,0.37954957456098637,68.77811238125574
1985,16.60450824143213,15.933135253697873,29.141184064947918,3.8280919346311353,2.7219643328535184,5.459426613004704e-05,0.00010236424899383819,0.38805604365237434,68.61709682973006
1986,16.397384420017996,14.932227863461023,30.556509705094687,4.130868322446743,2.8147779974162312,4.094569959753528e-05,0.00013307352369198967,0.4126746455353924,69.24461697319536
1987,17.10802774580792,15.875821510686222,31.19163210011859,4.5422429420199135,2.420822360880179,3.41214163312794e-05,9.895210736071026e-05,0.45493743180331514,71.59361716483983
1988,17.903998497417472,16.60355284177485,32.48556397738357,5.257622320396618,2.1646694763396312,6.82428326625588e-06,8.871568246132643e-05,0.4520439356984226,74.86754658897628
1989,18.116271240555992,17.641444435173177,32.47077234340396,5.2813844747297205,2.603883759497493,0.020220351317916174,0.0023987355680889417,0.5209316631296426,76.65730700337599
1990,18.214005213353676,17.64294236535012,31.76523016935556,5.75536165684589,2.770287082661876,0.026696596137593002,0.003514505882121778,0.6697795175915827,76.84781710717843
1991,18.042084457168528,18.02966426162394,31.091158177589506,6.111575594777914,2.7233257773651367,0.02825253272229934,0.004531324088793904,0.7118171025117189,76.74240922784783
1992,18.16634783116378,18.64226993401083,31.736847975251205,6.173543498977151,2.3830567772847187,0.02764517151160257,0.0038761928952333394,0.7663431258091035,77.89993050690363
1993,18.84339179829229,19.106010691227617,32.014101543651016,6.088888265059247,2.6467880283924434,0.028778002533801042,0.004504026955728881,0.8015086574801199,79.53397101359226
1994,18.91399242082334,19.555260082928505,32.836707472848765,6.389682198586008,2.4580829475139363,0.033002233875613435,0.0047565254365803476,0.8059649144529851,80.9974487964657
1995,19.084292409732758,20.40402690202745,32.75666545441885,6.718547821328511,2.949793029697471,0.030292993418909852,0.004875950393739826,0.7801691237065379,82.72866368472424
