Year,Coal,Natural Gas,Oil,Nuclear,Hydro,Wind,Solar,Biomass,Total
2015,14.771427276858237,25.37198569490457,33.74987164098973,7.2487229761422975,2.1289443534407817,1.6641321837511944,0.3405760928273991,2.17997293156421,87.45563315047843
2016,13.514609264136789,25.560315440203432,34.003615553537294,7.270939430315593,2.2613047395314476,1.9657143219952076,0.4751304859881663,2.278413217679951,87.33004245338788
2017,13.145592970797269,25.243815418739384,34.33498568823851,7.227902087896951,2.5318636860470614,2.1912022896788343,0.6658589668551187,2.2820573849441317,87.62327849319726
2018,12.588956657618576,28.046551968332306,35.15789871018325,7.211015398954601,2.4573766341958785,2.3377537728216793,0.8004781907069154,2.2538457979214304,90.85387713073463
2019,10.749815729504249,29.037321885777136,35.10303488486417,7.195984915060672,2.4110295143931015,2.5242341373553874,0.9119357971530395,2.238139709984142,90.1714965740919
2020,8.72205161191061,28.5024447997929,30.829791540633536,7.005014172137768,2.382435767507489,2.875899690490452,1.112453712365436,2.0833206076642283,83.51341190250243
2021,10.021098289483646,28.540002242748738,33.67437459521514,6.897221205805622,2.0923559587087506,3.210579602575806,1.3958081900052797,2.2071301668222754,88.03857025136527
2022,9.39354061246039,30.04075767296413,33.884569344099084,6.80872731255045,2.1065880014605276,3.6777700349836837,1.736633369171897,2.255650820845355,89.9042371685355
2023,7.7633353529673865,30.314817476795337,34.01205036765438,6.788131625652889,2.009222539959222,3.540267551451894,2.008591293757093,2.402942738722589,88.8393589469608
2024,7.491790297519799,30.78431451694721,33.947229913049846,6.850382737607675,1.986637574489548,3.8118979104403095,2.5485319979248913,2.4872601706188133,89.9080451185981
